,0,1,2,3,4
0,-5.0,1.3712905,-4.001000000197763e-07,-1.6218725429205227,0.0
1,-4.999,1.3712900999,-4.001000000197763e-07,-1.6218725429205227,0.0
2,-4.997999999999999,1.3712896998,-4.001000000197763e-07,-1.6218725429205227,0.0
3,-4.996999999999999,1.3712892997,-4.001000000197763e-07,-1.6218725429205227,0.0
4,-4.995999999999999,1.3712888995999999,-4.001000000197763e-07,-1.6218725429205227,0.0
5,-4.994999999999998,1.3712884994999999,-4.001000000197763e-07,-1.6218725429205227,0.0
6,-4.993999999999998,1.3712880993999998,-4.001000000197763e-07,-1.6218725429205227,0.0
7,-4.992999999999998,1.3712876992999998,-4.001000000197763e-07,-1.6218725429205227,0.0
8,-4.991999999999997,1.3712872991999998,-4.001000000197763e-07,-1.6218725429205227,8.989210695253824e-10
9,-4.990999999999997,1.3712868990999998,-4.000999997977317e-07,-1.6218725420204279,-8.989210695253824e-10
10,-4.989999999999997,1.371286499,-4.001000000197763e-07,-1.6218725429205227,0.0
11,-4.988999999999996,1.3712860989,-4.001000000197763e-07,-1.6218725429205227,0.0
12,-4.987999999999996,1.3712856988,-4.001000000197763e-07,-1.6218725429205227,0.0
13,-4.986999999999996,1.3712852987,-4.001000000197763e-07,-1.6218725429205227,0.0
14,-4.985999999999995,1.3712848986,-4.001000000197763e-07,-1.6218725429205227,0.0
15,-4.984999999999995,1.3712844985,-4.001000000197763e-07,-1.6218725429205227,0.0
16,-4.983999999999995,1.3712840983999999,-4.001000000197763e-07,-1.6218725429205227,0.0
17,-4.982999999999994,1.3712836982999999,-4.001000000197763e-07,-1.6218725429205227,0.0
18,-4.981999999999994,1.3712832981999998,-4.001000000197763e-07,-1.6218725429205227,0.0
19,-4.980999999999994,1.3712828980999998,-4.001000000197763e-07,-1.6218725429205227,8.989210695253824e-10
20,-4.979999999999993,1.3712824979999998,-4.000999997977317e-07,-1.6218725420204279,-8.989210695253824e-10
21,-4.978999999999993,1.3712820979,-4.001000000197763e-07,-1.6218725429205227,0.0
22,-4.977999999999993,1.3712816978,-4.001000000197763e-07,-1.6218725429205227,0.0
23,-4.976999999999992,1.3712812977,-4.001000000197763e-07,-1.6218725429205227,0.0
24,-4.975999999999992,1.3712808976,-4.001000000197763e-07,-1.6218725429205227,0.0
25,-4.974999999999992,1.3712804975,-4.001000000197763e-07,-1.6218725429205227,0.0
26,-4.973999999999991,1.3712800974,-4.001000000197763e-07,-1.6218725429205227,0.0
